,playername,source_count
0,PLAYER_002,3
1,PLAYER_005,2
2,PLAYER_006,3
3,PLAYER_007,3
4,PLAYER_008,2
5,PLAYER_009,2
6,PLAYER_012,2
7,PLAYER_014,3
8,PLAYER_017,3
9,PLAYER_019,2
10,PLAYER_021,3
11,PLAYER_028,2
12,PLAYER_031,2
13,PLAYER_032,3
14,PLAYER_033,3
15,PLAYER_036,2
16,PLAYER_037,2
17,PLAYER_038,2
18,PLAYER_039,2
19,PLAYER_040,2
20,PLAYER_042,3
21,PLAYER_043,2
22,PLAYER_048,2
23,PLAYER_051,2
24,PLAYER_052,3
25,PLAYER_053,3
26,PLAYER_056,3
27,PLAYER_058,2
28,PLAYER_060,2
29,PLAYER_063,2
30,PLAYER_066,3
31,PLAYER_069,2
32,PLAYER_073,2
33,PLAYER_074,3
34,PLAYER_076,2
35,PLAYER_078,3
36,PLAYER_083,2
37,PLAYER_084,3
38,PLAYER_086,2
39,PLAYER_088,2
40,PLAYER_093,3
41,PLAYER_097,2
42,PLAYER_098,2
43,PLAYER_099,2
44,PLAYER_1002,2
45,PLAYER_1003,2
46,PLAYER_1006,2
47,PLAYER_1011,2
48,PLAYER_1015,2
49,PLAYER_1020,2
50,PLAYER_1022,2
51,PLAYER_1023,2
52,PLAYER_1024,2
53,PLAYER_1032,2
54,PLAYER_1034,2
55,PLAYER_1036,3
56,PLAYER_1037,2
57,PLAYER_1040,2
58,PLAYER_1044,2
59,PLAYER_1045,2
60,PLAYER_1047,3
61,PLAYER_1049,2
62,PLAYER_1050,3
63,PLAYER_1051,2
64,PLAYER_1052,3
65,PLAYER_1053,3
66,PLAYER_1054,2
67,PLAYER_1055,3
68,PLAYER_1056,2
69,PLAYER_1057,2
70,PLAYER_1058,2
71,PLAYER_1061,2
72,PLAYER_1062,2
73,PLAYER_1065,2
74,PLAYER_107,2
75,PLAYER_1070,2
76,PLAYER_1072,2
77,PLAYER_1077,3
78,PLAYER_1079,3
79,PLAYER_108,2
80,PLAYER_1083,2
81,PLAYER_1084,3
82,PLAYER_1089,3
83,PLAYER_1094,3
84,PLAYER_1095,2
85,PLAYER_1099,2
86,PLAYER_1104,3
87,PLAYER_1105,2
88,PLAYER_1108,2
89,PLAYER_1109,2
90,PLAYER_111,2
91,PLAYER_1111,2
92,PLAYER_1112,3
93,PLAYER_1114,3
94,PLAYER_1117,2
95,PLAYER_112,3
96,PLAYER_1120,2
97,PLAYER_1122,2
98,PLAYER_1123,2
99,PLAYER_1125,3
100,PLAYER_1126,2
101,PLAYER_1128,3
102,PLAYER_1129,3
103,PLAYER_1131,2
104,PLAYER_1133,2
105,PLAYER_1134,2
106,PLAYER_1139,2
107,PLAYER_1141,2
108,PLAYER_1144,2
109,PLAYER_1145,2
110,PLAYER_1147,2
111,PLAYER_1149,2
112,PLAYER_115,3
113,PLAYER_1152,3
114,PLAYER_1155,2
115,PLAYER_1158,2
116,PLAYER_1159,2
117,PLAYER_1162,3
118,PLAYER_117,2
119,PLAYER_1171,2
120,PLAYER_1179,2
121,PLAYER_1186,3
122,PLAYER_1187,2
123,PLAYER_1188,3
124,PLAYER_1190,3
125,PLAYER_1191,3
126,PLAYER_1192,2
127,PLAYER_1194,2
128,PLAYER_1196,3
129,PLAYER_1197,2
130,PLAYER_1198,2
131,PLAYER_1200,2
132,PLAYER_1201,2
133,PLAYER_1202,2
134,PLAYER_1203,2
135,PLAYER_1204,3
136,PLAYER_1207,2
137,PLAYER_1208,3
138,PLAYER_1214,2
139,PLAYER_1218,2
140,PLAYER_122,2
141,PLAYER_1220,2
142,PLAYER_1225,2
143,PLAYER_1226,2
144,PLAYER_1227,2
145,PLAYER_1228,2
146,PLAYER_1229,2
147,PLAYER_1232,2
148,PLAYER_1235,2
149,PLAYER_1238,2
150,PLAYER_1239,2
151,PLAYER_124,2
152,PLAYER_1240,2
153,PLAYER_1241,2
154,PLAYER_1242,2
155,PLAYER_1244,2
156,PLAYER_1245,2
157,PLAYER_1247,2
158,PLAYER_1264,2
159,PLAYER_1265,2
160,PLAYER_128,3
161,PLAYER_1282,2
162,PLAYER_131,3
163,PLAYER_136,2
164,PLAYER_137,3
165,PLAYER_139,2
166,PLAYER_140,2
167,PLAYER_141,2
168,PLAYER_142,2
169,PLAYER_143,2
170,PLAYER_144,2
171,PLAYER_147,2
172,PLAYER_150,2
173,PLAYER_153,2
174,PLAYER_154,3
175,PLAYER_155,2
176,PLAYER_158,3
177,PLAYER_159,3
178,PLAYER_161,2
179,PLAYER_167,2
180,PLAYER_169,2
181,PLAYER_176,2
182,PLAYER_177,2
183,PLAYER_178,2
184,PLAYER_179,2
185,PLAYER_182,3
186,PLAYER_183,3
187,PLAYER_184,2
188,PLAYER_189,2
189,PLAYER_190,3
190,PLAYER_191,2
191,PLAYER_193,3
192,PLAYER_196,2
193,PLAYER_197,2
194,PLAYER_198,2
195,PLAYER_199,2
196,PLAYER_205,3
197,PLAYER_209,2
198,PLAYER_211,2
199,PLAYER_213,2
200,PLAYER_214,2
201,PLAYER_216,2
202,PLAYER_217,2
203,PLAYER_218,3
204,PLAYER_220,2
205,PLAYER_221,2
206,PLAYER_223,2
207,PLAYER_225,2
208,PLAYER_227,3
209,PLAYER_230,3
210,PLAYER_232,2
211,PLAYER_234,2
212,PLAYER_238,2
213,PLAYER_239,2
214,PLAYER_240,2
215,PLAYER_242,2
216,PLAYER_243,3
217,PLAYER_244,2
218,PLAYER_252,3
219,PLAYER_254,2
220,PLAYER_255,2
221,PLAYER_256,2
222,PLAYER_258,2
223,PLAYER_259,2
224,PLAYER_262,3
225,PLAYER_266,2
226,PLAYER_268,2
227,PLAYER_270,3
228,PLAYER_272,2
229,PLAYER_275,2
230,PLAYER_279,2
231,PLAYER_283,2
232,PLAYER_284,2
233,PLAYER_285,3
234,PLAYER_286,2
235,PLAYER_291,2
236,PLAYER_293,2
237,PLAYER_296,3
238,PLAYER_297,2
239,PLAYER_298,2
240,PLAYER_299,2
241,PLAYER_301,2
242,PLAYER_302,2
243,PLAYER_305,2
244,PLAYER_309,2
245,PLAYER_310,3
246,PLAYER_311,2
247,PLAYER_312,2
248,PLAYER_317,2
249,PLAYER_318,2
250,PLAYER_324,3
251,PLAYER_330,2
252,PLAYER_332,3
253,PLAYER_333,2
254,PLAYER_336,2
255,PLAYER_337,2
256,PLAYER_338,2
257,PLAYER_341,3
258,PLAYER_342,3
259,PLAYER_343,3
260,PLAYER_346,2
261,PLAYER_347,2
262,PLAYER_350,2
263,PLAYER_352,2
264,PLAYER_353,3
265,PLAYER_356,2
266,PLAYER_358,2
267,PLAYER_359,2
268,PLAYER_361,2
269,PLAYER_363,3
270,PLAYER_365,2
271,PLAYER_374,2
272,PLAYER_375,3
273,PLAYER_376,3
274,PLAYER_379,2
275,PLAYER_381,2
276,PLAYER_382,2
277,PLAYER_384,2
278,PLAYER_385,2
279,PLAYER_386,2
280,PLAYER_387,2
281,PLAYER_388,2
282,PLAYER_390,2
283,PLAYER_391,2
284,PLAYER_392,2
285,PLAYER_395,2
286,PLAYER_399,2
287,PLAYER_401,2
288,PLAYER_403,2
289,PLAYER_404,3
290,PLAYER_406,2
291,PLAYER_407,2
292,PLAYER_408,2
293,PLAYER_410,2
294,PLAYER_412,3
295,PLAYER_413,3
296,PLAYER_414,2
297,PLAYER_415,2
298,PLAYER_416,2
299,PLAYER_417,2
300,PLAYER_418,2
301,PLAYER_419,2
302,PLAYER_422,2
303,PLAYER_423,3
304,PLAYER_426,2
305,PLAYER_427,2
306,PLAYER_428,2
307,PLAYER_429,2
308,PLAYER_430,3
309,PLAYER_432,2
310,PLAYER_437,2
311,PLAYER_438,2
312,PLAYER_441,2
313,PLAYER_442,2
314,PLAYER_445,2
315,PLAYER_450,2
316,PLAYER_451,2
317,PLAYER_452,2
318,PLAYER_454,2
319,PLAYER_455,2
320,PLAYER_457,3
321,PLAYER_464,2
322,PLAYER_465,2
323,PLAYER_466,2
324,PLAYER_468,2
325,PLAYER_469,3
326,PLAYER_470,2
327,PLAYER_474,2
328,PLAYER_479,2
329,PLAYER_480,3
330,PLAYER_481,2
331,PLAYER_482,3
332,PLAYER_483,2
333,PLAYER_486,2
334,PLAYER_488,2
335,PLAYER_489,2
336,PLAYER_490,3
337,PLAYER_491,2
338,PLAYER_499,2
339,PLAYER_501,2
340,PLAYER_503,2
341,PLAYER_510,2
342,PLAYER_517,2
343,PLAYER_518,3
344,PLAYER_519,2
345,PLAYER_520,2
346,PLAYER_522,2
347,PLAYER_523,2
348,PLAYER_525,2
349,PLAYER_527,2
350,PLAYER_528,2
351,PLAYER_529,2
352,PLAYER_530,2
353,PLAYER_531,2
354,PLAYER_533,2
355,PLAYER_539,2
356,PLAYER_540,3
357,PLAYER_545,2
358,PLAYER_547,2
359,PLAYER_548,2
360,PLAYER_551,2
361,PLAYER_552,3
362,PLAYER_555,3
363,PLAYER_557,3
364,PLAYER_559,2
365,PLAYER_560,2
366,PLAYER_561,2
367,PLAYER_563,2
368,PLAYER_564,2
369,PLAYER_566,2
370,PLAYER_567,3
371,PLAYER_574,2
372,PLAYER_575,2
373,PLAYER_579,3
374,PLAYER_580,2
375,PLAYER_588,2
376,PLAYER_589,2
377,PLAYER_592,2
378,PLAYER_593,3
379,PLAYER_599,2
380,PLAYER_601,2
381,PLAYER_604,2
382,PLAYER_606,2
383,PLAYER_607,2
384,PLAYER_610,2
385,PLAYER_611,2
386,PLAYER_612,2
387,PLAYER_614,2
388,PLAYER_616,3
389,PLAYER_617,3
390,PLAYER_620,3
391,PLAYER_626,2
392,PLAYER_628,2
393,PLAYER_630,2
394,PLAYER_637,2
395,PLAYER_639,2
396,PLAYER_640,2
397,PLAYER_642,2
398,PLAYER_643,2
399,PLAYER_646,3
400,PLAYER_647,2
401,PLAYER_648,3
402,PLAYER_650,2
403,PLAYER_654,2
404,PLAYER_657,2
405,PLAYER_661,2
406,PLAYER_663,2
407,PLAYER_665,2
408,PLAYER_666,2
409,PLAYER_667,2
410,PLAYER_668,2
411,PLAYER_671,2
412,PLAYER_672,3
413,PLAYER_673,2
414,PLAYER_675,2
415,PLAYER_678,2
416,PLAYER_680,2
417,PLAYER_681,2
418,PLAYER_682,2
419,PLAYER_683,2
420,PLAYER_685,3
421,PLAYER_686,2
422,PLAYER_687,3
423,PLAYER_690,2
424,PLAYER_691,2
425,PLAYER_693,2
426,PLAYER_698,2
427,PLAYER_702,2
428,PLAYER_705,3
429,PLAYER_706,2
430,PLAYER_710,2
431,PLAYER_711,2
432,PLAYER_715,2
433,PLAYER_716,2
434,PLAYER_719,3
435,PLAYER_720,2
436,PLAYER_722,2
437,PLAYER_728,2
438,PLAYER_732,3
439,PLAYER_733,2
440,PLAYER_734,2
441,PLAYER_735,2
442,PLAYER_741,2
443,PLAYER_742,2
444,PLAYER_743,3
445,PLAYER_744,2
446,PLAYER_745,3
447,PLAYER_746,3
448,PLAYER_747,3
449,PLAYER_751,2
450,PLAYER_755,3
451,PLAYER_756,2
452,PLAYER_760,2
453,PLAYER_764,2
454,PLAYER_765,2
455,PLAYER_769,3
456,PLAYER_770,2
457,PLAYER_774,3
458,PLAYER_779,2
459,PLAYER_780,3
460,PLAYER_784,2
461,PLAYER_786,2
462,PLAYER_788,2
463,PLAYER_789,3
464,PLAYER_790,2
465,PLAYER_791,2
466,PLAYER_792,3
467,PLAYER_796,3
468,PLAYER_798,2
469,PLAYER_800,2
470,PLAYER_803,2
471,PLAYER_809,2
472,PLAYER_820,2
473,PLAYER_821,2
474,PLAYER_822,2
475,PLAYER_826,2
476,PLAYER_830,2
477,PLAYER_836,2
478,PLAYER_841,2
479,PLAYER_843,2
480,PLAYER_845,2
481,PLAYER_851,3
482,PLAYER_852,2
483,PLAYER_854,2
484,PLAYER_860,2
485,PLAYER_861,2
486,PLAYER_862,2
487,PLAYER_865,2
488,PLAYER_866,2
489,PLAYER_869,2
490,PLAYER_874,2
491,PLAYER_876,2
492,PLAYER_884,2
493,PLAYER_886,2
494,PLAYER_888,3
495,PLAYER_889,2
496,PLAYER_894,2
497,PLAYER_896,3
498,PLAYER_897,3
499,PLAYER_900,2
500,PLAYER_901,2
501,PLAYER_902,3
502,PLAYER_904,2
503,PLAYER_905,2
504,PLAYER_906,2
505,PLAYER_908,2
506,PLAYER_910,3
507,PLAYER_911,2
508,PLAYER_912,2
509,PLAYER_914,2
510,PLAYER_918,2
511,PLAYER_926,2
512,PLAYER_927,2
513,PLAYER_932,2
514,PLAYER_933,3
515,PLAYER_939,2
516,PLAYER_940,2
517,PLAYER_941,2
518,PLAYER_944,3
519,PLAYER_946,2
520,PLAYER_948,3
521,PLAYER_949,2
522,PLAYER_950,2
523,PLAYER_953,2
524,PLAYER_955,2
525,PLAYER_957,2
526,PLAYER_958,3
527,PLAYER_960,2
528,PLAYER_961,3
529,PLAYER_963,2
530,PLAYER_964,3
531,PLAYER_965,3
532,PLAYER_972,2
533,PLAYER_978,2
534,PLAYER_980,2
535,PLAYER_981,2
536,PLAYER_982,2
537,PLAYER_988,3
538,PLAYER_990,2
539,PLAYER_994,2
540,PLAYER_995,3
