,playername,team
435,PLAYER_720,Tennis
436,PLAYER_822,Tennis
437,PLAYER_207,Tennis
438,PLAYER_221,Tennis
439,PLAYER_082,Tennis
440,PLAYER_1097,Tennis
441,PLAYER_775,Tennis
442,PLAYER_897,Women's Soccer
443,PLAYER_1025,Track
444,PLAYER_1238,Football
445,PLAYER_177,Swim/Dive
446,PLAYER_1061,Football
447,PLAYER_428,Football
448,PLAYER_712,Football
449,PLAYER_782,Football
450,PLAYER_267,Football
451,PLAYER_1128,Women's Basketball
452,PLAYER_006,Volleyball
453,PLAYER_647,Volleyball
454,PLAYER_406,Volleyball
455,PLAYER_648,Volleyball
456,PLAYER_743,Volleyball
457,PLAYER_1190,Volleyball
458,PLAYER_754,Volleyball
459,PLAYER_1186,Men's Basketball
460,PLAYER_755,Men's Basketball
461,PLAYER_503,Football
462,PLAYER_1218,Football
463,PLAYER_036,Volleyball
464,PLAYER_796,Women's Soccer
465,PLAYER_896,Women's Soccer
466,PLAYER_457,Women's Soccer
467,PLAYER_944,Women's Soccer
468,PLAYER_1094,Women's Soccer
469,PLAYER_685,Women's Soccer
470,PLAYER_115,Women's Soccer
471,PLAYER_084,Women's Soccer
472,PLAYER_780,Women's Soccer
473,PLAYER_557,Men's Basketball
474,PLAYER_673,Football
475,PLAYER_589,Football
476,PLAYER_161,Football
477,PLAYER_520,Football
478,PLAYER_728,Men's Soccer
479,PLAYER_612,Men's Soccer
480,PLAYER_902,Men's Soccer
481,PLAYER_964,Men's Soccer
482,PLAYER_1225,Men's Soccer
483,PLAYER_1077,Men's Soccer
484,PLAYER_1189,Mens Lax
485,PLAYER_1049,Mens Lax
486,PLAYER_510,Mens Lax
487,PLAYER_1108,Mens Lax
488,PLAYER_429,Mens Lax
489,PLAYER_1229,Mens Lax
490,PLAYER_1057,Mens Lax
491,PLAYER_525,Mens Lax
492,PLAYER_1199,Mens Lax
493,PLAYER_1226,Mens Lax
494,PLAYER_866,Mens Lax
495,PLAYER_107,Mens Lax
496,PLAYER_1210,Mens Lax
497,PLAYER_147,Mens Lax
498,PLAYER_071,Mens Lax
499,PLAYER_357,Mens Lax
500,PLAYER_1131,Women's Lacrosse
501,PLAYER_051,Women's Lacrosse
502,PLAYER_611,Women's Lacrosse
503,PLAYER_474,Women's Lacrosse
504,PLAYER_189,Women's Lacrosse
505,PLAYER_286,Women's Lacrosse
506,PLAYER_981,Women's Lacrosse
507,PLAYER_596,Mens Lax
508,PLAYER_990,Mens Lax
509,PLAYER_1109,Mens Lax
510,PLAYER_337,Mens Lax
511,PLAYER_358,Mens Lax
512,PLAYER_101,Mens Lax
513,PLAYER_930,Mens Lax
514,PLAYER_299,Mens Lax
515,PLAYER_094,Baseball
516,PLAYER_874,Baseball
517,PLAYER_607,Baseball
518,PLAYER_563,Baseball
519,PLAYER_219,Softball
520,PLAYER_179,Softball
521,PLAYER_048,Softball
522,PLAYER_117,Softball
523,PLAYER_387,Softball
524,PLAYER_1134,Softball
525,PLAYER_391,Softball
526,PLAYER_060,Softball
527,PLAYER_1149,Softball
528,PLAYER_788,Softball
529,PLAYER_058,Softball
530,PLAYER_462,Softball
531,PLAYER_671,Softball
532,PLAYER_861,Softball
533,PLAYER_234,Softball
534,PLAYER_904,Softball
535,PLAYER_818,Swim/Dive
536,PLAYER_765,Swim/Dive
537,PLAYER_1099,Swim/Dive
538,PLAYER_1100,Swim/Dive
539,PLAYER_1024,Swim/Dive
540,PLAYER_588,Swim/Dive
541,PLAYER_392,Swim/Dive
542,PLAYER_479,Swim/Dive
543,PLAYER_019,Swim/Dive
544,PLAYER_028,Swim/Dive
545,PLAYER_176,Swim/Dive
546,PLAYER_167,Swim/Dive
547,PLAYER_791,Swim/Dive
548,PLAYER_407,Swim/Dive
549,PLAYER_086,Swim/Dive
550,PLAYER_1244,Swim/Dive
551,PLAYER_1235,Swim/Dive
552,PLAYER_254,Swim/Dive
553,PLAYER_426,Women's Lacrosse
554,PLAYER_427,Women's Lacrosse
555,PLAYER_499,Women's Lacrosse
556,PLAYER_724,Women's Lacrosse
557,PLAYER_733,Women's Lacrosse
558,PLAYER_031,Track
559,PLAYER_311,Track
560,PLAYER_108,Track
561,PLAYER_939,Track
562,PLAYER_734,Track
563,PLAYER_1079,Men's Basketball
564,PLAYER_577,Women's Lacrosse
565,PLAYER_637,Track
566,PLAYER_232,Track
567,PLAYER_950,Mens Lax
568,PLAYER_445,Mens Lax
569,PLAYER_927,Baseball
570,PLAYER_155,Football
571,PLAYER_1197,Football
572,PLAYER_630,Football
573,PLAYER_575,Football
574,PLAYER_213,Football
575,PLAYER_517,Football
576,PLAYER_1155,Football
577,PLAYER_912,Football
578,PLAYER_352,Football
579,PLAYER_359,Football
580,PLAYER_803,Women's Soccer
581,PLAYER_182,Men's Soccer
582,PLAYER_062,Men's Soccer
583,PLAYER_283,Football
584,PLAYER_932,Men's Soccer
585,PLAYER_830,Football
586,PLAYER_547,Football
587,PLAYER_572,Football
588,PLAYER_066,Men's Basketball
589,PLAYER_988,Men's Basketball
590,PLAYER_098,Football
591,PLAYER_555,Women's Basketball
592,PLAYER_789,Volleyball
593,PLAYER_519,Football
594,PLAYER_972,Football
595,PLAYER_1152,Women's Soccer
596,PLAYER_670,Women's Soccer
597,PLAYER_112,Women's Soccer
598,PLAYER_910,Women's Soccer
599,PLAYER_845,Men's Soccer
600,PLAYER_732,Men's Soccer
601,PLAYER_423,Men's Soccer
602,PLAYER_139,Men's Soccer
603,PLAYER_052,Women's Soccer
604,PLAYER_422,Football
605,PLAYER_1072,Football
606,PLAYER_347,Football
607,PLAYER_374,Football
608,PLAYER_292,Football
609,PLAYER_978,Football
610,PLAYER_514,Football
611,PLAYER_193,Men's Soccer
612,PLAYER_017,Men's Soccer
613,PLAYER_033,Men's Soccer
614,PLAYER_657,Men's Soccer
615,PLAYER_097,Men's Soccer
616,PLAYER_599,Men's Soccer
617,PLAYER_523,Men's Soccer
618,PLAYER_1200,Mens Lax
619,PLAYER_239,Mens Lax
620,PLAYER_385,Women's Lacrosse
621,PLAYER_414,Women's Lacrosse
622,PLAYER_452,Women's Lacrosse
623,PLAYER_477,Women's Lacrosse
624,PLAYER_309,Tennis
625,PLAYER_862,Tennis
626,PLAYER_281,Track
627,PLAYER_1065,Mens Lax
628,PLAYER_1227,Mens Lax
629,PLAYER_654,Mens Lax
630,PLAYER_1223,Mens Lax
631,PLAYER_225,Mens Lax
632,PLAYER_451,Mens Lax
633,PLAYER_441,Mens Lax
634,PLAYER_814,Mens Lax
635,PLAYER_481,Mens Lax
636,PLAYER_401,Baseball
637,PLAYER_918,Baseball
638,PLAYER_275,Baseball
639,PLAYER_1201,Baseball
640,PLAYER_191,Baseball
641,PLAYER_417,Baseball
642,PLAYER_140,Baseball
643,PLAYER_1051,Baseball
644,PLAYER_437,Track
645,PLAYER_561,Track
646,PLAYER_403,Baseball
647,PLAYER_820,Women's Lacrosse
648,PLAYER_043,Women's Lacrosse
649,PLAYER_009,Women's Lacrosse
650,PLAYER_908,Women's Lacrosse
651,PLAYER_1006,Women's Lacrosse
652,PLAYER_1105,Baseball
653,PLAYER_604,Baseball
654,PLAYER_940,Track
655,PLAYER_199,Baseball
656,PLAYER_522,Baseball
657,PLAYER_1202,Baseball
658,PLAYER_1192,Football
659,PLAYER_779,Football
660,PLAYER_566,Football
661,PLAYER_1091,Track
662,PLAYER_1123,Track
663,PLAYER_911,Track
664,PLAYER_317,Track
665,PLAYER_841,Baseball
666,PLAYER_236,Football
667,PLAYER_223,Football
668,PLAYER_501,Football
669,PLAYER_143,Football
670,PLAYER_869,Football
671,PLAYER_037,Football
672,PLAYER_1207,Football
673,PLAYER_269,Women's Lacrosse
674,PLAYER_602,Staff
675,PLAYER_220,Football
676,PLAYER_252,Men's Basketball
677,PLAYER_144,Men's Basketball
678,PLAYER_593,Men's Basketball
679,PLAYER_579,Men's Basketball
680,PLAYER_270,Men's Basketball
681,PLAYER_183,Men's Basketball
682,PLAYER_995,Men's Basketball
683,PLAYER_933,Men's Basketball
684,PLAYER_486,Football
685,PLAYER_298,Football
686,PLAYER_798,Football
687,PLAYER_560,Football
688,PLAYER_722,Football
689,PLAYER_1112,Men's Soccer
690,PLAYER_809,Women's Soccer
691,PLAYER_821,Men's Soccer
692,PLAYER_413,Women's Soccer
693,PLAYER_1198,Women's Soccer
694,PLAYER_746,Women's Soccer
695,PLAYER_1265,Women's Soccer
696,PLAYER_552,Women's Soccer
697,PLAYER_545,Men's Soccer
698,PLAYER_1194,Men's Soccer
699,PLAYER_574,Football
700,PLAYER_005,Men's Soccer
701,PLAYER_483,Baseball
702,PLAYER_827,Baseball
703,PLAYER_1220,Baseball
704,PLAYER_035,Baseball
705,PLAYER_838,Baseball
706,PLAYER_336,Baseball
707,PLAYER_626,Baseball
708,PLAYER_1070,Baseball
709,PLAYER_865,Baseball
710,PLAYER_548,Baseball
711,PLAYER_920,Baseball
712,PLAYER_977,Baseball
713,PLAYER_784,Baseball
714,PLAYER_934,Baseball
715,PLAYER_876,Baseball
716,PLAYER_188,Baseball
717,PLAYER_169,Baseball
718,PLAYER_786,Baseball
719,PLAYER_936,Baseball
720,PLAYER_900,Women's Lacrosse
721,PLAYER_646,Women's Lacrosse
722,PLAYER_132,Women's Lacrosse
723,PLAYER_464,Women's Lacrosse
724,PLAYER_227,Women's Lacrosse
725,PLAYER_665,Softball
726,PLAYER_941,Softball
727,PLAYER_916,Mens Lax
728,PLAYER_867,Mens Lax
729,PLAYER_160,Mens Lax
730,PLAYER_195,Mens Lax
731,PLAYER_880,Mens Lax
732,PLAYER_015,Mens Lax
733,PLAYER_1193,Mens Lax
734,PLAYER_411,Mens Lax
735,PLAYER_164,Mens Lax
736,PLAYER_1163,Mens Lax
737,PLAYER_1137,Mens Lax
738,PLAYER_1180,Mens Lax
739,PLAYER_1176,Mens Lax
740,PLAYER_842,Mens Lax
741,PLAYER_1019,Mens Lax
742,PLAYER_1164,Mens Lax
743,PLAYER_1045,Women's Lacrosse
744,PLAYER_124,Women's Lacrosse
745,PLAYER_379,Women's Lacrosse
746,PLAYER_480,Women's Soccer
747,PLAYER_012,Baseball
748,PLAYER_222,Baseball
749,PLAYER_945,Women's Lacrosse
750,PLAYER_331,Men's Soccer
751,PLAYER_1171,Women's Soccer
752,PLAYER_1165,Mens Lax
753,PLAYER_777,Football
754,PLAYER_245,Football
755,PLAYER_278,Football
756,PLAYER_546,Football
757,PLAYER_998,Football
758,PLAYER_565,Football
759,PLAYER_1168,Football
760,PLAYER_315,Football
761,PLAYER_089,Football
762,PLAYER_696,Football
763,PLAYER_1142,Football
764,PLAYER_929,Football
765,PLAYER_634,Football
766,PLAYER_119,Football
767,PLAYER_770,Volleyball
768,PLAYER_011,Football
769,PLAYER_355,Football
770,PLAYER_700,Football
771,PLAYER_812,Football
772,PLAYER_404,Men's Basketball
773,PLAYER_1050,Men's Basketball
774,PLAYER_958,Men's Basketball
775,PLAYER_1036,Men's Basketball
776,PLAYER_601,Women's Basketball
777,PLAYER_332,Women's Basketball
778,PLAYER_042,Women's Basketball
779,PLAYER_1096,Women's Basketball
780,PLAYER_190,Women's Basketball
781,PLAYER_056,Women's Basketball
782,PLAYER_363,Women's Basketball
783,PLAYER_128,Volleyball
784,PLAYER_130,Volleyball
785,PLAYER_251,Volleyball
786,PLAYER_961,Women's Soccer
787,PLAYER_1089,Women's Soccer
788,PLAYER_007,Women's Soccer
789,PLAYER_053,Women's Soccer
790,PLAYER_614,Women's Soccer
791,PLAYER_158,Men's Soccer
792,PLAYER_1040,Men's Soccer
793,PLAYER_539,Men's Soccer
794,PLAYER_518,Men's Soccer
795,PLAYER_1104,Men's Soccer
796,PLAYER_343,Women's Basketball
797,PLAYER_405,Women's Lacrosse
798,PLAYER_125,Women's Lacrosse
799,PLAYER_433,Women's Lacrosse
800,PLAYER_763,Women's Lacrosse
801,PLAYER_233,Women's Lacrosse
802,PLAYER_890,Women's Lacrosse
803,PLAYER_388,Softball
804,PLAYER_639,Softball
805,PLAYER_118,Softball
806,PLAYER_852,Softball
807,PLAYER_1002,Softball
808,PLAYER_493,Women's Basketball
809,PLAYER_229,Baseball
810,PLAYER_515,Baseball
811,PLAYER_917,Baseball
812,PLAYER_1033,Baseball
813,PLAYER_484,Baseball
814,PLAYER_274,Baseball
815,PLAYER_778,Baseball
816,PLAYER_354,Baseball
817,PLAYER_1188,Men's Basketball
818,PLAYER_760,Men's Basketball
819,PLAYER_540,Men's Basketball
820,PLAYER_277,Mens Lax
821,PLAYER_507,Mens Lax
822,PLAYER_1030,Mens Lax
823,PLAYER_149,Mens Lax
824,PLAYER_1110,Mens Lax
825,PLAYER_172,Mens Lax
826,PLAYER_968,Mens Lax
827,PLAYER_509,Mens Lax
828,PLAYER_350,Football
829,PLAYER_209,Mens Lax
830,PLAYER_1233,Mens Lax
831,PLAYER_1037,Mens Lax
832,PLAYER_476,Mens Lax
833,PLAYER_597,Mens Lax
834,PLAYER_442,Mens Lax
835,PLAYER_1237,Mens Lax
836,PLAYER_785,Mens Lax
837,PLAYER_268,Mens Lax
838,PLAYER_261,Mens Lax
839,PLAYER_707,Mens Lax
840,PLAYER_214,Women's Lacrosse
841,PLAYER_044,Women's Lacrosse
842,PLAYER_039,Women's Lacrosse
843,PLAYER_468,Women's Lacrosse
844,PLAYER_131,Women's Lacrosse
845,PLAYER_1245,Women's Lacrosse
846,PLAYER_963,Women's Lacrosse
847,PLAYER_040,Women's Lacrosse
848,PLAYER_152,Women's Lacrosse
849,PLAYER_1054,Women's Lacrosse
850,PLAYER_498,Women's Lacrosse
851,PLAYER_217,Women's Lacrosse
852,PLAYER_960,Women's Lacrosse
853,PLAYER_083,Women's Lacrosse
854,PLAYER_957,Women's Lacrosse
855,PLAYER_153,Football
856,PLAYER_580,Football
857,PLAYER_1118,Football
858,PLAYER_258,Football
859,PLAYER_769,Women's Soccer
860,PLAYER_469,Women's Soccer
861,PLAYER_078,Women's Soccer
862,PLAYER_747,Women's Soccer
863,PLAYER_571,Football
864,PLAYER_658,Football
865,PLAYER_395,Football
866,PLAYER_661,Football
867,PLAYER_259,Football
868,PLAYER_1179,Football
869,PLAYER_1241,Volleyball
870,PLAYER_466,Volleyball
871,PLAYER_672,Volleyball
872,PLAYER_1007,Football
873,PLAYER_412,Men's Basketball
874,PLAYER_616,Men's Basketball
875,PLAYER_906,Women's Basketball
876,PLAYER_1264,Women's Basketball
877,PLAYER_851,Women's Basketball
878,PLAYER_705,Women's Basketball
879,PLAYER_1286,Volleyball
880,PLAYER_304,Men's Soccer
881,PLAYER_1062,Men's Soccer
882,PLAYER_860,Women's Soccer
883,PLAYER_684,Women's Lacrosse
884,PLAYER_1027,Women's Lacrosse
885,PLAYER_694,Women's Lacrosse
886,PLAYER_393,Women's Lacrosse
887,PLAYER_678,Softball
888,PLAYER_790,Softball
889,PLAYER_116,Softball
890,PLAYER_886,Baseball
891,PLAYER_843,Baseball
892,PLAYER_018,Baseball
893,PLAYER_418,Baseball
894,PLAYER_247,Baseball
895,PLAYER_559,Baseball
896,PLAYER_068,Men's Basketball
897,PLAYER_104,Mens Lax
898,PLAYER_201,Mens Lax
899,PLAYER_508,Mens Lax
900,PLAYER_1113,Mens Lax
901,PLAYER_512,Mens Lax
902,PLAYER_726,Mens Lax
903,PLAYER_330,Mens Lax
904,PLAYER_730,Mens Lax
905,PLAYER_505,Mens Lax
